Media Source,Date,Headline,link,Type (News/Editorial)
LAT,10/11/2023,L.A.'s close-knit Israeli dance-music community mourns deadly attack on Supernova rave,https://www.latimes.com/entertainment-arts/music/story/2023-10-11/supernova-rave-israel-dance-music-community-attack-hamas,News
LAT,10/11/2023," As strikes devastate Gaza, Israel forms unity government to oversee the war with Hamas ",https://www.latimes.com/world-nation/story/2023-10-11/israeli-strikes-demolish-gaza-neighborhoods-power-blackout,News
LAT,10/10/2023,Palestinians scramble for safety as Israel pounds sealed-off Gaza Strip,https://www.latimes.com/world-nation/story/2023-10-10/israel-pounds-gaza-city-retaliation-hamas-attack,News
LAT,10/10/2023,This Israeli couple's son is in enemy hands. They're determined to get him back,https://www.latimes.com/world-nation/story/2023-10-10/israel-hostage-hersh-goldberg-polin-family-determined-to-find-him,News
LAT,10/10/2023,Biden calls Hamas attack on Israel 'unadulterated evil',https://www.latimes.com/politics/story/2023-10-10/biden-calls-hamas-attack-on-israel-unadulterated-evil,News
LAT,10/10/2023,Dean Kremer spends time every year with family in Israel. Now he'll pitch for Orioles with heavy heart,https://www.latimes.com/sports/story/2023-10-10/dean-kremer-israel-family-war-orioles-rangers-alds,News
LAT,10/10/2023,Mexico works to extract national gymnastics team stuck in Israel,https://www.latimes.com/world-nation/story/2023-10-10/the-attacks-in-israel-stranded-a-mexican-gymnastics-team-their-coach-pleads-for-help,News
LAT,10/10/2023,X promises 'highest level' response on posts about Israel-Hamas war. Misinformation still flourishes,https://www.latimes.com/business/story/2023-10-10/x-israel-hamas-war-misinformation,News
LAT,10/10/2023,What you need to know about Hamas,https://www.latimes.com/politics/story/2023-10-10/what-you-need-to-know-about-hamas,News
LAT,10/9/2023," Israel calls for complete siege of Gaza, and Hamas threatens to execute hostages ",https://www.latimes.com/world-nation/story/2023-10-09/israel-battles-hamas-infiltrators-masses-troops-gaza-border,News
LAT,10/9/2023,Airlines halt flights in and out of Israel after attack by Hamas ignites heavy fighting,https://www.latimes.com/world-nation/story/2023-10-09/airlines-halt-flights-in-and-out-of-israel-after-attack-by-hamas-ignites-heavy-fighting,News
LAT,10/9/2023,Photos: Israel continues to bombard Gaza after Hamas attack,https://www.latimes.com/world-nation/story/2023-10-09/photos-israel-declares-war-bombards-gaza-after-hamas-attack,News
LAT,10/9/2023," Oil prices climb following the latest Gaza war, but stocks rise with rate hopes ",https://www.latimes.com/business/story/2023-10-09/oil-prices-and-defense-stocks-climb-as-middle-east-violence-rattles-markets,News
LAT,10/8/2023," A world away from Israel, L.A.'s Jewish community reels under vast sense of loss ",https://www.latimes.com/california/story/2023-10-08/after-attack-on-israel-los-angeles-jewish-community-mourns,News
LAT,10/8/2023," Israel and Hamas continue to battle, with at least 1,100 dead and warnings of a long war ",https://www.latimes.com/world-nation/story/2023-10-08/israel-hamas-war-continued-second-day,News
LAT,10/8/2023,News Analysis: U.S. struggles with how to help restore calm in Middle East in wake of deadly Hamas attack,https://www.latimes.com/politics/story/2023-10-08/u-s-struggles-with-how-to-help-restore-calm-in-middle-east-in-wake-of-deadly-hamas-attack,News
LAT,10/7/2023," Hundreds dead after surprise attack by Hamas and Israeli retaliation. ‘We're at war,’ Netanyahu says ",https://www.latimes.com/world-nation/story/2023-10-07/israels-netanyahu-war-hamas-surprise-attack-gaza,News
LAT,10/7/2023," News Analysis: Sudden war in Israel and Gaza upends region's diplomatic, political calculations ",https://www.latimes.com/politics/story/2023-10-07/sudden-war-in-israel-palestinian-territory-upends-regions-diplomacy-political-calculations,News
LAT,10/7/2023,Bruno Mars' sold-out concert in Israel canceled amid deadly conflict,https://www.latimes.com/entertainment-arts/business/story/2023-10-07/bruno-mars-tel-aviv-concert-canceled-israel-attacks,News
LAT,10/7/2023,Shock and stepped-up security in Southern California as Israel-Gaza battle rages,https://www.latimes.com/california/story/2023-10-07/attack-on-israel-by-hamas-militants-los-angeles-leaders-react-boost-security,News
LAT,,LA Times Today: Israelis and Palestinians confront a terrifying new reality,https://www.latimes.com/world-nation/israel-hamas-week-2-latt-123,News
LAT,,LA Times Today: Palestinian Americans struggle with Hamas-Israel violence,https://www.latimes.com/world-nation/palestinian-americans-israel-hamas-latt-123,News
LAT,," LA Times Today: For Californians whose relatives were kidnapped in Israel, the uncertainty is ‘an unimaginable nightmare’ ",https://www.latimes.com/california/california-relatives-kidnapped-israel-hamas-latt-123,News
LAT,," LA Times Today: Grief, anger, fear on college campuses as Israel-Hamas war divide comes home ",https://www.latimes.com/world-nation/israel-war-university-reactions-latt-123,News
LAT,," LA Times Today: In and out of Israel, fears grow of a war that engulfs ‘all the Middle East’  ",https://www.latimes.com/world-nation/israel-hamas-growing-fears-latt-123,News
LAT,,LA Times Today: A halfway war pulses on Israel’s border with Lebanon. Will it escalate?,https://www.latimes.com/world-nation/hezbollah-latt-123,News
LAT,,LA Times Today: Is the threat of the Israel-Hamas war widening?,https://www.latimes.com/world-nation/israel-hamas-war-widen-threat-latt-123,News
LAT,,LA Times Today: L.A. Times photographer discusses the moments that have stuck with him from Israel and Gaza,https://www.latimes.com/world-nation/israel-gaza-photography-latt-123,News
LAT,,LA Times Today: Muslim parents say LAUSD ‘pro-Israel’ statement made their kids targets,https://www.latimes.com/california/lausd-muslim-parents-latt-123,News
LAT,,LA Times Today: ‘The left has really let us down.’ Why many American Jews feel abandoned,https://www.latimes.com/world-nation/american-jews-react-israel-hamas-war-latt-123,News
LAT,,LA Times Today: A Gaza resident reports on life under siege,https://www.latimes.com/world-nation/life-in-gaza-latt-123,News
LAT,,LA Times Today: U.S. struggles with how to help restore calm in Middle East in wake of deadly Hamas attack,https://www.latimes.com/world-nation/us-israel-hamas-week-one-latt-123,News
NYT,11/19/2023,At Least 24 Killed in Strike on Gaza School Run by the U.N.,https://nytimes.com/2023/11/19/world/middleeast/gaza-school-strike-shelter-israel-war.html,News
NYT,11/9/2023,Palestinian officials say 18 are killed in the West Bank as violence spikes.,https://nytimes.com/live/2023/11/09/world/israel-hamas-war-gaza/palestinian-officials-say-13-are-killed-in-the-west-bank-as-violence-spikes,News
NYT,10/18/2023,Hundreds Killed in Explosion at Gaza Hospital,Video,News
NYT,10/13/2023,France Raises Terrorist Threat Level After Teacher Killed in Stabbing,https://nytimes.com/2023/10/13/world/europe/france-knife-attack-school.html,News
NYT,10/11/2023,What We Know About the Americans Missing or Killed in the Attack on Israel,https://nytimes.com/2023/10/11/us/israel-americans-missing-killed-hostage.html,News
NYT,10/8/2023,Dozens were killed at a music festival and others abducted.,https://nytimes.com/live/2023/10/08/world/israel-gaza-attack-hamas-news/music-festival-israel-gaza-strip,News
NYT,11/10/2023,America’s top diplomat says ‘far too many Palestinians have been killed.’,https://nytimes.com/2023/11/10/world/middleeast/blinken-palestinians-israel-war.html,News
NYT,10/31/2023,"Israel Struck a Dense Area in Gaza, Saying It Killed Hamas Militants",https://nytimes.com/2023/10/31/briefing/israel-hamas-war-mike-johnson-military-aid.html,News
NYT,10/10/2023,What We Know About the Americans Who Were Missing or Killed,https://nytimes.com/2023/10/10/world/middleeast/israel-hamas-american-deaths-hostages.html,News
NYT,10/13/2023,A son of a kibbutz attacked by Hamas returns as witness to devastation and loss.,https://nytimes.com/live/2023/10/14/world/israel-news-hamas-war-gaza/a-son-of-a-kibbutz-attacked-by-hamas-returns-as-witness-to-devastation-and-loss,News
NYT,10/9/2023,Videos show the beginning of the attack on a music festival in southern Israel.,https://nytimes.com/live/2023/10/10/world/israel-hamas-war-gaza/videos-show-the-beginning-of-the-attack-on-a-music-festival-in-southern-israel,News
NYT,10/8/2023,Hundreds are said to be missing after fleeing a music festival near the Gaza Strip.,https://nytimes.com/live/2023/10/07/world/israel-gaza-attack/hundreds-are-said-to-be-missing-after-fleeing-a-music-festival-near-the-gaza-strip,News
NYT,11/24/2023,Here’s what we know about the released Israeli hostages.,https://nytimes.com/2023/11/24/world/middleeast/released-hostages-israel-gaza-hamas.html,News
NYT,11/24/2023,Can the Palestinian Authority Really Govern Gaza After the War?,https://nytimes.com/2023/11/24/world/middleeast/palestinian-authority-gaza-war.html,News
NYT,11/24/2023,Displaced Palestinians Try to Return Home to Northern Gaza,Video,News
NYT,11/24/2023,A Different Approach to Climate Action,https://nytimes.com/2023/11/24/briefing/climate-action.html,News
NYT,11/24/2023,Biden says ‘the chances are real’ that the pause could open the door to a longer cease-fire.,https://nytimes.com/2023/11/24/climate/biden-israel-hostages-release.html,News
NYT,11/24/2023,"In West Bank, Cheers and Worries After Prisoners Are Released",https://nytimes.com/2023/11/24/world/middleeast/israel-west-bank-prisoners-release.html,News
NYT,11/23/2023,Israel has made lopsided prisoner swaps before.,https://nytimes.com/live/2023/11/23/world/israel-hamas-gaza-hostage-war/israel-has-made-lopsided-prisoner-swaps-before,News
NYT,11/23/2023,Israel pummels northern Gaza amid the countdown to a brief cease-fire.,https://nytimes.com/live/2023/11/24/world/israel-hamas-hostage-release-gaza-war/israel-northern-gaza-cease-fire,News
NYT,11/23/2023,"As Gaza Residents Suffer, Guilt and Fear Stalk Their Families Abroad",https://nytimes.com/2023/11/23/world/middleeast/gaza-families-israel.html,News
NYT,11/23/2023,Former State Dept. Official Arrested in Harassing of Halal Food Vendor,https://nytimes.com/2023/11/22/nyregion/stuart-seldowitz-harassment-charges.html,News
NYT,11/23/2023,Gazans anticipate a long night of attacks before a pause in fighting takes effect in the morning.,https://nytimes.com/live/2023/11/23/world/israel-hamas-gaza-hostage-war/gazans-anticipate-a-long-night-of-attacks-before-a-pause-in-fighting-takes-effect-in-the-morning,News
NYT,11/23/2023,"The first 13 hostages will be released starting Friday afternoon, Qatar says.",https://nytimes.com/live/2023/11/23/world/israel-hamas-gaza-hostage-war/talks-go-on-to-finalize-a-cease-fire-and-hostage-agreement,News
NYT,11/22/2023,"As Israel and Hamas Move Toward Hostages’ Release, Families Wait With Hope and Fear",https://nytimes.com/2023/11/21/world/middleeast/israel-hamas-hostages-families.html,News
NYT,11/22/2023,A Cease-Fire in Gaza Remains in Flux,https://nytimes.com/2023/11/22/briefing/israel-hamas-war-pause-us-canada-border.html,News
NYT,11/22/2023,Giving Thanks When the World Is on Fire,https://nytimes.com/2023/11/22/world/europe/giving-thanks-when-the-world-is-on-fire.html,News
NYT,11/22/2023,Political Pressures on Biden Helped Drive ‘Secret Cell’ of Aides in Hostage Talks,https://nytimes.com/2023/11/21/us/politics/biden-hostage-talks-israel-hamas.html,News
NYT,11/22/2023,Terrible Choices and Deep Distrust: The Path to the Hostage Deal,https://nytimes.com/2023/11/22/us/politics/hostages-biden.html,News
NYT,11/22/2023,The Fallout From Sam Altman’s Return to OpenAI,https://nytimes.com/2023/11/22/business/dealbook/openai-altman-microsoft-board.html,News
NYT,11/22/2023,Thursday Briefing: Waiting for a Cease-Fire in Gaza,https://nytimes.com/2023/11/22/briefing/gaza-israel-cease-fire-openai-sam-altman-south-korea.html,News
NYT,11/22/2023,Wednesday Briefing,https://nytimes.com/2023/11/22/briefing/ceasefire-israel-hamas-omicron-dutch-election.html,News
NYT,11/21/2023,Noted Palestinian Poet Released by Israel After Two-Day Detention,https://nytimes.com/2023/11/21/world/middleeast/abu-toha-palestinian-poet-gaza.html,News
NYT,11/21/2023,"A Crisis at Gaza’s Hospitals, and More",https://nytimes.com/2023/11/21/podcasts/gazas-hospital-trump.html,News
NYT,11/21/2023,"As A.I.-Controlled Killer Drones Become Reality, Nations Debate Limits",https://nytimes.com/2023/11/21/us/politics/ai-drones-war-law.html,News
NYT,11/21/2023,Wednesday Briefing: A Gaza Hostage Deal Appears Close,https://nytimes.com/2023/11/21/briefing/israel-hamas-hostages-binance-north-korea-satellite.html,News
NYT,11/20/2023,"At University of Arkansas, a State Law Stifles Pro-Palestinian Speakers",https://nytimes.com/2023/11/20/us/arkansas-thrall-bds-antisemitism.html,News
NYT,11/20/2023,28 Premature Babies Evacuated From Gaza Arrive in Egypt. Others Never Had the Chance.,https://nytimes.com/2023/11/20/world/middleeast/premature-babies-gaza-hospital-egypt.html,News
NYT,11/20/2023,Being Born in Gaza,https://nytimes.com/video/world/middleeast/100000009188377/gaza-childbirth-israel-war.html,News
NYT,11/20/2023,China’s foreign minister meets with a Middle East delegation to discuss Gaza.,https://nytimes.com/live/2023/11/20/world/israel-hamas-gaza-war-news/israel-hamas-china-peace-talks,News
NYT,11/20/2023,Families of Hostages in Gaza Are Desperate for Proof of Life,https://nytimes.com/2023/11/20/us/politics/gaza-hostages-israel-hamas.html,News
NYT,11/20/2023,The A.I. Industry Was Upended,https://nytimes.com/2023/11/20/briefing/openai-sam-altman-voting-rights-act.html,News
NYT,11/20/2023,What Is COP28? And Other Questions About the Big U.N. Climate Summit,https://nytimes.com/article/cop28-climate-change-summit.html,News
NYT,11/19/2023,What to Know as Argentina Votes in a Pivotal Election,https://nytimes.com/2023/11/19/world/americas/argentina-election-milei-massa.html,News
NYT,11/19/2023,Yemen’s Houthis hijacked a ship in the Red Sea.,https://nytimes.com/2023/11/19/world/middleeast/israel-yemen-houthis-hijacked-red-sea-ship.html,News
NYT,11/18/2023,Patients and Workers Leave Gaza Hospital Days After Israeli Raid,https://nytimes.com/2023/11/18/world/middleeast/al-shifa-evacuation-israel-hamas.html,News
NYT,11/18/2023,Is Israel’s Military Strategy to Eradicate Hamas Working?,https://nytimes.com/2023/11/18/world/middleeast/israel-hamas-gaza-war-strategy.html,News
NYT,11/18/2023,A Thanksgiving Road Map,https://nytimes.com/2023/11/18/briefing/thanksgiving-road-map.html,News
NYT,11/18/2023,"Arab countries won’t send postwar peacekeeping troops to Gaza, a Jordanian official says.",https://nytimes.com/live/2023/11/18/world/israel-hamas-war-gaza-news/arab-countries-wont-send-postwar-peacekeeping-troops-to-gaza-a-jordanian-official-says,News
NYT,11/18/2023,"Hospitals in southern Gaza are becoming overwhelmed, doctors say.",https://nytimes.com/live/2023/11/18/world/israel-hamas-war-gaza-news/hospitals-in-southern-gaza-are-becoming-overwhelmed-doctors-say,News
NYT,11/17/2023,Israel Displays Tunnel Shaft at Gaza Hospital and Says It Will Let In Some Fuel,https://nytimes.com/2023/11/17/world/middleeast/israel-gaza-tunnel-hamas.html,News
NYT,11/17/2023,Israel Says Hospital Held Hamas Command Center: How Long Could It Take for Proof?,https://nytimes.com/2023/11/17/us/politics/israel-al-shifa-hospital-hamas-evidence.html,News
NYT,11/17/2023,Advertisers Push Back at Social Media Firms over Antisemitism,https://nytimes.com/2023/11/17/business/dealbook/x-musk-tiktok-antisemitism-social-media.html,News
NYT,11/17/2023,Car Talk and Birthday Wishes Punctuate Biden’s ‘Trust but Verify’ Diplomacy,https://nytimes.com/2023/11/16/us/politics/biden-xi-china-apec-meeting.html,News
NYT,11/17/2023,Celebrity Campaign Shines Spotlight on New Zealand Bird Contest,https://nytimes.com/2023/11/17/world/australia/celebrity-campaign-shines-spotlight-on-new-zealand-bird-contest.html,News
NYT,11/17/2023,Football’s Young Victims,https://nytimes.com/2023/11/17/briefing/football-cte.html,News
NYT,11/17/2023,Nikki Haley Renews Call for TikTok Ban After Bin Laden Letter Circulates,https://nytimes.com/2023/11/17/us/politics/nikki-haley-tiktok-ban.html,News
NYT,11/17/2023,The U.N. warns that all 2.2 million people in Gaza are at risk of starvation.,https://nytimes.com/live/2023/11/16/world/israel-hamas-gaza-war-news/gazans-are-at-risk-of-starvation-as-israel-prevents-flow-of-fuel-and-sufficient-aid-un-says,News
NYT,11/17/2023,"U.S. officials insist Hamas was operating under Al-Shifa Hospital, despite a lack of public documentation.",https://nytimes.com/live/2023/11/17/world/israel-hamas-gaza-war-news/despite-lack-of-evidence-us-insists-hamas-was-operating-under-al-shifa,News
NYT,11/16/2023,Israel Blocks Palestinian Americans From Entering From West Bank,https://nytimes.com/2023/11/16/us/politics/israel-palestinian-americans-west-bank.html,News
NYT,11/16/2023,Friday Briefing: Israel Continues to Search Al-Shifa,https://nytimes.com/2023/11/16/briefing/al-shifa-hospital-biden-xi-jinping-darfur.html,News
NYT,11/16/2023,"Israel and Hamas Near a Hostage Deal, and More",https://nytimes.com/2023/11/16/us/biden-china-talks.html,News
NYT,11/16/2023,"Biden Met With Xi, in an Effort to Lower the Heat",https://nytimes.com/2023/11/16/briefing/biden-xi-meeting-israel-hamas-war.html,News
NYT,11/16/2023,"Doctors reveal prior medical conditions of some Oct. 7 hostages, stressing the urgency of freeing them.",https://nytimes.com/live/2023/11/15/world/israel-hamas-war-gaza-news/doctors-reveal-prior-medical-conditions-of-some-oct-7-hostages-stressing-the-urgency-of-freeing-them,News
NYT,11/16/2023,Protesters Demanding Gaza Cease-Fire Shut Down Bay Bridge,https://nytimes.com/2023/11/16/world/asia/san-francisco-bay-bridge-protest.html,News
NYT,11/16/2023,Some U.K. Labour Lawmakers Rebel Against Leader on Gaza Policy,https://nytimes.com/2023/11/16/world/middleeast/uk-labour-party-ceasefire-vote-gaza.html,News
NYT,11/16/2023,U.N. Security Council Calls for Dayslong Humanitarian Pauses in Gaza,https://nytimes.com/2023/11/15/world/middleeast/united-nations-security-council-israel-gaza.html,News
NYT,11/15/2023,"Israel and Hamas Appear to Be Near Hostage Deal, Officials Say",https://nytimes.com/2023/11/15/world/middleeast/israel-hamas-hostage-deal.html,News
NYT,11/15/2023,"Leaders from the U.N., Turkey and Jordan condemn Israel’s raid of Al-Shifa.",https://nytimes.com/live/2023/11/15/world/israel-hamas-war-gaza-news/leaders-from-the-un-turkey-and-jordan-condemn-israels-raid-of-al-shifa,News
NYT,11/15/2023,Could Remote Work Be a New ‘Mommy Track’?,https://nytimes.com/2023/11/15/us/remote-work-moms.html,News
NYT,11/15/2023,F.B.I. Ramps Up Investigations of Hamas,https://nytimes.com/2023/11/15/us/politics/fbi-hamas-israel-threats.html,News
NYT,11/15/2023,Transcript: Ezra Klein Interviews Michael Podhorzer,https://nytimes.com/2023/11/15/podcasts/transcript-ezra-klein-interviews-michael-podhorzer.html,News
NYT,11/14/2023,Satellite images show Israeli tanks 600 feet from Al-Shifa Hospital,https://nytimes.com/2023/11/14/world/middleeast/satellite-images-show-israeli-tanks-600-feet-from-al-shifa-hospital.html,News
NYT,11/14/2023,"Growing Dissent Against Biden’s Israel Policy, and More",https://nytimes.com/2023/11/14/podcasts/bidens-israel-gaza.html,News
NYT,11/14/2023,"‘Hang in There,’ Biden Tells Families of Hostages Held by Hamas",Video,News
NYT,11/14/2023,A High-Stakes Inflation Report for Washington and Wall Street,https://nytimes.com/2023/11/14/business/dealbook/inflation-cpi-fed-interest-rates.html,News
NYT,11/14/2023,Harsh Visuals of War Leave Newsrooms Facing Tough Choices,https://nytimes.com/2023/11/14/business/media/israel-hamas-media-photography.html,News
NYT,11/14/2023,"Rainfall in Gaza could bring further misery for residents, the W.H.O. says.",https://nytimes.com/live/2023/11/14/world/israel-hamas-gaza-war-news/rainfall-in-gaza-could-bring-further-misery-for-residents-the-who-says,News
NYT,11/14/2023,The Debate Over Al-Shifa,https://nytimes.com/2023/11/14/briefing/al-shifa-hospital-gaza.html,News
NYT,11/14/2023,The U.N. highlights the harrowing conditions in Gaza for pregnant women.,https://nytimes.com/live/2023/11/14/world/israel-hamas-gaza-war-news/the-un-highlights-the-particularly-harrowing-conditions-in-gaza-for-pregnant-women,News
NYT,11/14/2023,Tuesday Briefing,https://nytimes.com/2023/11/14/briefing/hospitals-gaza-britain-cabinet.html,News
NYT,11/13/2023,The U.S. defense secretary tries to play down Israel-Hezbollah clashes.,https://nytimes.com/live/2023/11/13/world/israel-hamas-gaza-war-news/the-us-defense-secretary-appears-to-play-down-israel-hezbollah-clashes,News
NYT,11/13/2023,Biden calls for ‘less intrusive action’ around Gaza’s battered hospitals.,https://nytimes.com/live/2023/11/14/world/israel-hamas-gaza-war-news/biden-israel-gaza-hospitals,News
NYT,11/13/2023,Biden Strengthens Ties With Indonesia Despite Tensions Over the War in Gaza,https://nytimes.com/2023/11/13/us/politics/biden-joko-widodo-indonesia-visit.html,News
NYT,11/13/2023,"Crisis at Gaza’s Main Hospital, and More",https://nytimes.com/2023/11/13/us/gaza-hospital.html,News
NYT,11/13/2023,Iran’s proxies escalate attacks on U.S. troops in Iraq and Syria.,https://nytimes.com/live/2023/11/13/world/israel-hamas-gaza-war-news/irans-proxies-escalate-attacks-on-us-troops-in-iraq-and-syria,News
NYT,11/13/2023,Monday Briefing,https://nytimes.com/2023/11/13/briefing/gaza-russian-south-africa-employment.html,News
NYT,11/13/2023,The Doctors of Gaza,https://nytimes.com/2023/11/13/podcasts/the-daily/gaza-hospital.html,News
NYT,11/13/2023,U.N. says that without fuel it can no longer distribute humanitarian aid.,https://nytimes.com/2023/11/13/world/middleeast/un-unrwa-gaza-aid-israel.html,News
NYT,11/13/2023,"Who Is James Cleverly, Britain’s New Home Secretary?",https://nytimes.com/2023/11/13/world/europe/james-cleverly-uk-home-secretary.html,News
NYT,11/12/2023,The U.S. warns Israel to avoid fighting in hospitals.,https://nytimes.com/live/2023/11/12/world/israel-hamas-war-gaza-news/the-us-warns-israel-to-avoid-fighting-in-hospitals,News
NYT,11/12/2023,Crisis heightens at Gaza’s main hospital amid dispute over desperately needed fuel.,https://nytimes.com/live/2023/11/12/world/israel-hamas-war-gaza-news/crisis-heightens-at-gazas-main-hospital-amid-dispute-over-desperately-needed-fuel,News
NYT,11/12/2023,"The Occupied West Bank: Divided by Faith, United by Fear",https://nytimes.com/2023/11/12/world/middleeast/west-bank-israelis-arab.html,News
NYT,11/11/2023,"Surrounded by Israeli troops, Palestinians evacuate a cluster of hospitals in northern Gaza.",https://nytimes.com/live/2023/11/11/world/israel-hamas-war-gaza-news/surrounded-by-israeli-troops-palestinians-evacuate-a-cluster-of-hospitals-in-northern-gaza,News
NYT,11/11/2023,They Left Gaza to Work in Israel. Now They’re Stranded.,Video,News
NYT,11/11/2023,Gaza’s main hospital is without power and at a breaking point as fighting closes in.,https://nytimes.com/live/2023/11/11/world/israel-hamas-war-gaza-news/gazas-main-hospital-suffers-power-outage-as-israeli-forces-close-in,News
NYT,11/11/2023,"Iran and Saudi Arabia, Regional Rivals, Call for Gaza Cease-Fire",https://nytimes.com/2023/11/11/world/middleeast/iran-saudi-arabia-gaza-cease-fire.html,News
NYT,11/11/2023,"Iran and Saudi Arabia, regional rivals, call for Gaza cease-fire at summit.",https://nytimes.com/live/2023/11/11/world/israel-hamas-war-gaza-news/iran-saudi-arabia-cease-fire-gaza-israel,News
NYT,11/11/2023,"They Ran Into a Bomb Shelter for Safety. Instead, They Were Slaughtered.",https://nytimes.com/2023/11/11/world/middleeast/israel-hamas-oct-7-attack-shelter.html,News
NYT,11/10/2023,"Israel is considering a deal for Hamas to release all civilian hostages in Gaza, officials say.",https://nytimes.com/live/2023/11/10/world/israel-hamas-war-gaza-news/israel-is-considering-a-deal-for-hamas-to-release-all-civilian-hostages-in-gaza-officials-say,News
NYT,11/10/2023,Israel’s public defenders will not represent Oct. 7 attackers.,https://nytimes.com/live/2023/11/10/world/israel-hamas-war-gaza-news/israels-public-defenders-refuse-to-represent-oct-7-attackers,News
NYT,11/10/2023,Pro-Palestinian Protesters Rally in New York City,Video,News
NYT,11/10/2023,Blinken Stresses Need for Humanitarian Aid for Gaza,Video,News
NYT,11/10/2023,Concerns grow for hospital patients and sheltering civilians.,https://nytimes.com/live/2023/11/10/world/israel-hamas-war-gaza-news/video-shows-a-blast-rocked-al-shifa-hospital,News
NYT,11/10/2023,Intense Protests Again Shut Down Midtown Manhattan Streets,https://nytimes.com/2023/11/09/nyregion/protests-israel-hamas-palestinians-nyc.html,News
NYT,11/10/2023,"The New York Times News Quiz, Nov. 10, 2023",https://nytimes.com/interactive/2023/11/10/briefing/quiz-elections-israel-trump-marathon.html,News
NYT,11/10/2023,The W.H.O. chief says more than 250 attacks on Gaza and West Bank health care facilities have been verified.,https://nytimes.com/live/2023/11/11/world/israel-hamas-war-gaza-news/the-who-chief-says-more-than-250-attacks-on-gaza-and-west-bank-health-care-facilities-have-been-verified,News
NYT,11/9/2023,"Israeli Forces Have Limited Time in Gaza, U.S. Officials Say",https://nytimes.com/2023/11/09/us/politics/israel-hamas-gaza-deaths.html,News
NYT,11/9/2023,Holocaust Survivors in Israel Faced Fresh Horror When Hamas Attacked,https://nytimes.com/2023/11/09/world/middleeast/israel-holocaust-survivors-hamas.html,News
NYT,11/9/2023,Israel Accuses Freelance Photographers of Advance Knowledge of Oct. 7 Attack,https://nytimes.com/2023/11/09/world/middleeast/israel-gaza-hamas-photographers.html,News
NYT,11/9/2023,A New Chapter for a Checkered Scarf,https://nytimes.com/2023/11/09/style/kaffiyeh-palestine-israel-hamas-war.html,News
NYT,11/9/2023,"After Antisemitic Attacks, Colleges Debate What Kind of Speech Is Out of Bounds",https://nytimes.com/2023/11/09/us/antisemitic-speech-palestine-israel-protests.html,News
NYT,11/9/2023,"Chickenpox, scabies and other diseases surge in Gaza, the W.H.O. says.",https://nytimes.com/live/2023/11/09/world/israel-hamas-war-gaza/chickenpox-scabies-and-other-diseases-surge-in-gaza-the-who-says,News
NYT,11/9/2023,Germany Remembers Kristallnacht at a Fraught Moment,https://nytimes.com/2023/11/09/world/europe/germany-kristallnacht-antisemitism-israel.html,News
NYT,11/9/2023,Haley Compares Antisemitism on College Campuses to Racism,Video,News
NYT,11/9/2023,Listen: Final Episode of ‘The Kids of Rutherford County’,https://nytimes.com/2023/11/09/podcasts/listen-final-episode-of-the-kids-of-rutherford-county.html,News
NYT,11/9/2023,Videos offer glimpses of the battle in Gaza.,https://nytimes.com/live/2023/11/09/world/israel-hamas-war-gaza/videos-offer-glimpses-of-the-battle-for-gaza-city,News
NYT,11/8/2023,Israel Raises Alarms by Suggesting ‘Indefinite’ Role in Gaza,https://nytimes.com/2023/11/08/world/middleeast/israel-gaza-security-hamas.html,News
NYT,11/8/2023,Thursday Briefing: What’s Next in the Israel-Hamas War,https://nytimes.com/2023/11/08/briefing/israel-gaza-pandas.html,News
NYT,11/8/2023,Blinken Lays Out Possible Endgame in Gaza Under Palestinian Authority,https://nytimes.com/2023/11/08/us/politics/blinken-gaza-palestinian-authority.html,News
NYT,11/8/2023,Congressional Split on Immigration Hangs Over Year-End Spending Fights,https://nytimes.com/2023/11/08/us/immigration-border-spending-congress.html,News
NYT,11/8/2023,France Links Conversation in Russian to Star of David Graffiti,https://nytimes.com/2023/11/08/world/europe/star-david-graffiti-france.html,News
NYT,11/8/2023,The Streak Continues,https://nytimes.com/2023/11/08/briefing/election-results-democrats-abortion.html,News
NYT,11/8/2023,Ukraine Gets an Encouraging Sign in Its Bid to Join the E.U.,https://nytimes.com/2023/11/08/world/europe/ukraine-eu-membership.html,News
NYT,11/8/2023,White House Says It Does Not Support a Cease-Fire at This Time,Video,News
NYT,11/7/2023,Israel Says It Has Split Gaza Strip in Two in Drive to Isolate Hamas’s Leadership,https://nytimes.com/2023/11/06/world/middleeast/israel-gaza-blackout.html,News
NYT,11/7/2023,"Reoccupying Gaza ‘Not the Right Thing to Do,’ White House Tells Israel",https://nytimes.com/2023/11/07/us/politics/reoccupying-gaza-us-israel.html,News
NYT,11/7/2023,"Under Scrutiny Over Gaza, Israel Points to Civilian Toll of U.S. Wars",https://nytimes.com/2023/11/07/us/politics/israel-gaza-war-death-toll-civilians.html,News
NYT,11/7/2023,"As War Closes In, Many Remain in Northern Gaza",https://nytimes.com/2023/11/07/world/middleeast/northern-gaza-ground-invasion-bombing.html,News
NYT,11/7/2023,Biden Confronts the Limits of U.S. Leverage in Two Conflicts,https://nytimes.com/2023/11/06/us/politics/biden-israel-gaza-ukraine.html,News
NYT,11/7/2023,Jewish Man’s Death After California Protest Clash Is Under Investigation,https://nytimes.com/2023/11/06/us/california-jewish-man-paul-kessler-israel-protests.html,News
NYT,11/7/2023,Thousands of Civilians in Northern Gaza Flee to the South,Video,News
